date,home_team,home_continent,away_team,away_continent,team,scorer,minute,own_goal,penalty
10/12/1926,Chile,South America,Bolivia,South America,Chile,David Arellano,41,FALSE,FALSE
10/12/1926,Chile,South America,Bolivia,South America,Chile,Humberto Moreno,47,FALSE,FALSE
10/12/1926,Chile,South America,Bolivia,South America,Bolivia,Teófilo Aguilar,62,FALSE,FALSE
10/12/1926,Chile,South America,Bolivia,South America,Chile,David Arellano,80,FALSE,FALSE
10/12/1926,Chile,South America,Bolivia,South America,Chile,David Arellano,84,FALSE,FALSE
10/16/1926,Argentina,South America,Bolivia,South America,Argentina,Roberto Cherro,9,FALSE,FALSE
10/16/1926,Argentina,South America,Bolivia,South America,Argentina,Roberto Cherro,19,FALSE,FALSE
10/16/1926,Argentina,South America,Bolivia,South America,Argentina,Gabino Sosa,31,FALSE,FALSE
10/16/1926,Argentina,South America,Bolivia,South America,Argentina,Benjamín Delgado,43,FALSE,FALSE
10/16/1926,Argentina,South America,Bolivia,South America,Argentina,Antonio de Miguel,74,FALSE,FALSE
10/17/1926,Chile,South America,Uruguay,South America,Uruguay,René Borjas,22,FALSE,FALSE
10/17/1926,Chile,South America,Uruguay,South America,Uruguay,Héctor Castro,32,FALSE,FALSE
10/17/1926,Chile,South America,Uruguay,South America,Uruguay,Héctor Scarone,55,FALSE,FALSE
10/17/1926,Chile,South America,Uruguay,South America,Chile,Guillermo Subiabre,65,FALSE,TRUE
10/20/1926,Argentina,South America,Paraguay,South America,Argentina,Gabino Sosa,11,FALSE,FALSE
10/20/1926,Argentina,South America,Paraguay,South America,Argentina,Roberto Cherro,16,FALSE,FALSE
10/20/1926,Argentina,South America,Paraguay,South America,Argentina,Gabino Sosa,32,FALSE,FALSE
10/20/1926,Argentina,South America,Paraguay,South America,Argentina,Benjamín Delgado,40,FALSE,FALSE
10/20/1926,Argentina,South America,Paraguay,South America,Argentina,Benjamín Delgado,42,FALSE,FALSE
10/20/1926,Argentina,South America,Paraguay,South America,Argentina,Antonio de Miguel,52,FALSE,FALSE
10/20/1926,Argentina,South America,Paraguay,South America,Argentina,Gabino Sosa,59,FALSE,FALSE
